coluna,cardinalidade_operacional,estrategia_pipe_contrato,classificacao_legado,tem_pipe,n_linhas_com_pipe,divergencia_legado_vs_contrato,risco,acao_recomendada
"Espécie ou nome popular (Arbusto abaixo de 0,5m de altura) (amostragem/registro)",texto_livre,preservar_texto_livre,pipe_indeterminado,FALSE,0,TRUE,baixo_ou_sem_pipe,seguro_preservar_como_esta
"Espécie ou nome popular (Arbusto acima de 0,5m de altura) (amostragem/registro)",texto_livre,preservar_texto_livre,pipe_indeterminado,FALSE,0,TRUE,baixo_ou_sem_pipe,seguro_preservar_como_esta
Espécie ou nome popular (Árvore abaixo de 5cm de diâmetro a 30 cm do solo (D30)) (amostragem/registro),texto_livre,preservar_texto_livre,pipe_indeterminado,FALSE,0,TRUE,baixo_ou_sem_pipe,seguro_preservar_como_esta
Espécie ou nome popular (Árvore acima de 5cm de diâmetro a 30 cm do solo (D30)) (amostragem/registro),texto_livre,preservar_texto_livre,pipe_indeterminado,FALSE,0,TRUE,baixo_ou_sem_pipe,seguro_preservar_como_esta
"**Espécies** de <span style=""""""""color:red""""""""> arbustos exóticos</span> abaixo de 0,5m de altura: (amostragem/registro)",select_multiple,tratar_como_conjunto_tokens,pipe_indeterminado,FALSE,0,TRUE,baixo_ou_sem_pipe,revisar_antes_de_migrar_tratar_como_conjunto
"**Espécies** de <span style=""""""""color:red""""""""> arbustos exóticos</span> acima de 0,5m de altura: (amostragem/registro)",select_multiple,tratar_como_conjunto_tokens,pipe_indeterminado,FALSE,0,TRUE,baixo_ou_sem_pipe,revisar_antes_de_migrar_tratar_como_conjunto
"**Espécies** de <span style=""""""""color:red""""""""> árvores exóticas</span> abaixo de 5cm diâmetro: (amostragem/registro)",select_multiple,tratar_como_conjunto_tokens,pipe_indeterminado,FALSE,0,TRUE,baixo_ou_sem_pipe,revisar_antes_de_migrar_tratar_como_conjunto
"**Espécies** de <span style=""""""""color:red""""""""> árvores exóticas</span> acima de 5cm diâmetro: (amostragem/registro)",select_multiple,tratar_como_conjunto_tokens,pipe_indeterminado,FALSE,0,TRUE,baixo_ou_sem_pipe,revisar_antes_de_migrar_tratar_como_conjunto
forma_vida_nativa_bromelioide,estruturado_condicional_esparso,resolver_por_elegibilidade_relevance_necessaria,pipe_residual_operacional,FALSE,0,TRUE,baixo_ou_sem_pipe,aguardar_contexto_relevance_antes_de_migrar
forma_vida_nativa_cactacea,ambiguo_indeterminado,diagnosticar_ambiguo_nao_forcar,pipe_indeterminado,FALSE,0,TRUE,baixo_ou_sem_pipe,diagnosticar_nao_migrar
forma_vida_nativa_orquidea,estruturado_condicional_esparso,resolver_por_elegibilidade_relevance_necessaria,pipe_residual_operacional,FALSE,0,TRUE,baixo_ou_sem_pipe,aguardar_contexto_relevance_antes_de_migrar
forma_vida_nativa_samambaia,ambiguo_indeterminado,diagnosticar_ambiguo_nao_forcar,pipe_indeterminado,FALSE,0,TRUE,baixo_ou_sem_pipe,diagnosticar_nao_migrar
